g islFrom;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
7810;12698;sea;8668;-1;-1;-1;-1;;Canada-Newfoundland
14012;14013;sea;640;-1;-1;-1;-1;;Wallis-Futuna
12251;10321;sea;8313;-1;-1;-1;-1;;Andaman
7413;1419;sea;5294;-1;-1;-1;-1;;Moluccas
10141;1419;sea;5267;-1;-1;-1;-1;;Moluccas
480;9431;sea;8621;-1;-1;-1;-1;;Netherlands outlier
8857;2284;sea;7617;1560;1009;1556;1016;PANAMA_CANAL;Panama
2729;14687;sea;14369;-1;-1;-1;-1;KIEL_CANAL;Kiel Canal
14366;2358;sea;14367;-1;-1;-1;-1;PIAST_CANAL;Piast Canal
5388;803;sea;1155;-1;-1;-1;-1;SUEZ_CANAL;Suez Canal
299;211;sea;2282;-1;-1;-1;-1;;Småland-Öland
9279;6287;sea;2382;-1;-1;-1;-1;;Öresund Bridge
14698;6345;sea;2431;-1;-1;-1;-1;;Helsingör-Helsingborg
3325;14694;sea;2408;-1;-1;-1;-1;;Sjaelland-Fyn
3325;3260;sea;2408;-1;-1;-1;-1;;Sjaelland-Fyn
3325;14697;sea;14695;-1;-1;-1;-1;;Fyn-Samsø
6364;14697;sea;14695;-1;-1;-1;-1;;Jylland-Samsø
3374;3305;sea;2408;-1;-1;-1;-1;;Lolland-Fyn
14688;3305;sea;2408;-1;-1;-1;-1;;Lolland-Falster
14688;14691;sea;2382;-1;-1;-1;-1;;Sjaelland-Falster
3277;14693;sea;14687;-1;-1;-1;-1;;Fyn-Jylland
332;14693;sea;14687;-1;-1;-1;-1;;Fyn-Nordslesvig
14689;3374;sea;14687;-1;-1;-1;-1;;Fyn-Nordslesvig
394;14706;sea;2431;-1;-1;-1;-1;;Jylland-Læsø
14701;14704;sea;2431;-1;-1;-1;-1;;Jylland-Anholt
83;185;sea;1885;-1;-1;-1;-1;;Estonia-Ösel
185;6201;sea;1885;-1;-1;-1;-1;;Ösel-Dagö
83;6201;sea;1660;-1;-1;-1;-1;;Dagö-Estonia
6891;3838;sea;5579;-1;-1;-1;-1;;Sardinia-Corsica
9990;4159;sea;5681;-1;-1;-1;-1;;Calabria-Sicily
9793;9845;sea;8871;-1;-1;-1;-1;;Menorca-Mallorca
7396;1401;sea;5615;-1;-1;-1;-1;;Bangka Belitung-Sumatra
1342;10279;sea;2737;-1;-1;-1;-1;;Java-Sumatra
7396;4211;sea;4225;-1;-1;-1;-1;;Bangka-Belitung
1460;12126;sea;812;-1;-1;-1;-1;;Tanahbala-Sumatra
12126;1428;sea;812;-1;-1;-1;-1;;Tanahbala-Siberut
4306;4608;sea;5666;-1;-1;-1;-1;;Soerbaja-Madura
7654;4273;sea;2239;-1;-1;-1;-1;;Java-Bali
7293;4273;sea;2239;-1;-1;-1;-1;;Bali-Lombok
7293;10191;sea;2239;-1;-1;-1;-1;;Lombok-W.Nusa Tenggara
12162;1298;sea;2124;-1;-1;-1;-1;;West Nusa Tenggara-East Nusa Tenggara
12151;10219;sea;5414;-1;-1;-1;-1;;East Nusa Tenggara-Pulau Alor
12444;10222;sea;5515;-1;-1;-1;-1;;Sulawesi-Pulau Buton
1293;4269;sea;8751;-1;-1;-1;-1;;Surigao-Leyte
1311;4228;sea;2856;-1;-1;-1;-1;;San Bernardino Strait
4288;1221;sea;2876;-1;-1;-1;-1;;Mindoro-Batangas
4228;7307;sea;2876;-1;-1;-1;-1;;Ticao Pass
10302;1261;sea;2876;-1;-1;-1;-1;;Panay-Negros
10186;12153;sea;8751;-1;-1;-1;-1;;Negros-Cebu
7385;12153;sea;8751;-1;-1;-1;-1;;Bohol-Cebu
7557;1574;sea;5390;-1;-1;-1;-1;;Buru-Seram
7557;7369;sea;4899;-1;-1;-1;-1;;Buru-Taliabu
10342;1437;sea;4899;-1;-1;-1;-1;;Obi-Bacan
7413;1437;sea;4899;-1;-1;-1;-1;;Halmahera-Bacan
4509;7542;sea;2585;-1;-1;-1;-1;;Papua-Japen
10251;1329;sea;430;5112;550;5122;559;;Papua-New Britain
7251;4421;sea;7010;-1;-1;-1;-1;;New Britain-Latangai
4387;13022;sea;8547;-1;-1;-1;-1;;Gilbert Islands 1
13020;13022;sea;8570;-1;-1;-1;-1;;Gilbert Islands 2
4387;13021;sea;8570;-1;-1;-1;-1;;Gilbert Islands 3
7393;13021;sea;8673;-1;-1;-1;-1;;Gilbert Islands 4
1263;4231;sea;5741;-1;-1;-1;-1;;New Caledonia 1
1237;12120;sea;5660;-1;-1;-1;-1;;Vanuatu 1
4247;12120;sea;5609;-1;-1;-1;-1;;Vanuatu 2
12632;1814;sea;5637;-1;-1;-1;-1;;North-South NZ Islands
10231;10248;sea;430;-1;-1;-1;-1;;New Guinea-Fergusson
